Station_ID,Location,Capacity_kW,Installation_Date,Power_Level
11242,Vizhinjam,180,2019-01-05,DC Fast
11243,Kurukshetra,150,2021-03-08,DC Fast
11244,Bengaluru,3.3,2021-08-14,Level 1
11245,Paradip,200,2024-08-21,DC Fast
11246,Bhagalpur,3.3,2024-04-22,Level 1
11247,Bhopal,30,2023-01-02,Level 2
11248,Nashik,3.3,2022-03-07,Level 1
11249,Allahabad,250,2019-12-10,DC Fast
11250,Asansol,22,2019-06-19,Level 1
11251,Kalyan,90,2021-04-17,Level 2
11252,Satna,100,2020-07-01,Level 2
11253,Ranchi,43,2021-06-26,Level 2
11254,Jaipur,250,2019-05-05,DC Fast
11255,Gwalior,250,2023-11-01,DC Fast
11256,Surat,30,2021-08-08,Level 2
11257,Ghaziabad,180,2021-11-22,DC Fast
11258,Karimnagar,180,2021-06-24,DC Fast
11259,Tirunelveli,300,2020-12-10,DC Fast
11260,Coimbatore,100,2019-01-22,Level 2
11261,Anantapur,22,2021-06-02,Level 1
11262,Balasore,60,2021-03-06,Level 2
11263,Bareilly,200,2019-09-07,DC Fast
11264,Porbandar,50,2021-10-26,Level 2
11265,Varanasi,3.3,2020-12-26,Level 1
11266,Navi Mumbai,120,2019-07-05,DC Fast
11267,Visakhapatnam,90,2020-02-08,Level 2
11268,Rewa,50,2024-07-25,Level 2
11269,Surat,150,2021-08-04,DC Fast
11270,Vasai,180,2019-04-28,DC Fast
11271,Panipat,60,2024-01-12,Level 2
11272,Vasai,30,2022-04-12,Level 2
11273,Kohima,50,2024-07-03,Level 2
11274,Amritsar,90,2023-08-01,Level 2
11275,Silchar,7.2,2020-08-29,Level 1
11276,Ahmedabad,30,2021-10-27,Level 2
11277,Saharanpur,22,2024-05-23,Level 1
11278,Jhansi,7.2,2019-12-14,Level 1
11279,Berhampur,75,2023-02-04,Level 2
11280,Tirunelveli,150,2024-06-10,DC Fast
11281,Srinagar,30,2019-10-11,Level 2
11282,Moradabad,43,2024-07-29,Level 2
11283,Jhansi,11,2024-09-06,Level 1
11284,Patna,50,2024-03-24,Level 2
11285,Jabalpur,75,2019-01-02,Level 2
11286,Porbandar,3.3,2023-05-23,Level 1
11287,Dhanbad,3.3,2022-09-04,Level 1
11288,Bengaluru,180,2019-02-04,DC Fast
11289,Kollam,100,2019-06-18,Level 2
11290,Vadodara,100,2019-02-10,Level 2
11291,Shillong,200,2020-09-15,DC Fast
11292,Karnal,7.2,2019-11-10,Level 1
11293,Amritsar,60,2024-02-03,Level 2
11294,Anantapur,11,2019-05-28,Level 1
11295,Rajkot,7.2,2023-09-24,Level 1
11296,Ghaziabad,100,2020-10-16,Level 2
11297,Srinagar,75,2020-06-08,Level 2
11298,Srinagar,43,2024-03-02,Level 2
11299,Thrissur,180,2020-11-04,DC Fast
11300,Gandhinagar,200,2022-03-31,DC Fast
11301,Bathinda,200,2022-04-22,DC Fast
11302,Shimla,100,2022-04-21,Level 2
11303,Chennai,90,2024-07-01,Level 2
11304,Bengaluru,22,2023-04-15,Level 1
11305,Muzaffarpur,90,2022-05-05,Level 2
11306,Kalyan,300,2019-11-01,DC Fast
11307,Chandigarh,3.3,2019-11-22,Level 1
11308,Srinagar,50,2023-03-11,Level 2
11309,Vizhinjam,22,2020-07-28,Level 1
11310,Guwahati,3.3,2024-07-06,Level 1
11311,Gaya,22,2019-12-31,Level 1
11312,Aizawl,300,2019-04-24,DC Fast
11313,Shimla,120,2021-03-31,DC Fast
11314,Ambala,200,2019-01-12,DC Fast
11315,Muzaffarpur,120,2019-04-29,DC Fast
11316,Moradabad,150,2023-10-13,DC Fast
11317,Gandhinagar,43,2020-05-23,Level 2
11318,Bhopal,250,2024-09-30,DC Fast
11319,Delhi,180,2022-02-10,DC Fast
11320,Panaji,11,2023-09-15,Level 1
11321,Karimnagar,43,2022-02-10,Level 2
11322,Shillong,100,2022-02-10,Level 2
11323,Nagpur,3.3,2022-02-11,Level 1
11324,Patna,22,2019-09-19,Level 1
11325,Darbhanga,90,2022-12-05,Level 2
11326,Jaipur,250,2022-12-09,DC Fast
11327,Karimnagar,180,2022-03-15,DC Fast
11328,Visakhapatnam,200,2022-06-06,DC Fast
11329,Itanagar,7.2,2021-09-21,Level 1
11330,Chandigarh,7.2,2021-01-23,Level 1
11331,Rajkot,200,2024-03-14,DC Fast
11332,Madurai,3.3,2019-01-28,Level 1
11333,Vadodara,30,2022-12-29,Level 2
11334,Salem,43,2020-07-25,Level 2
11335,Hubli,120,2021-12-21,DC Fast
11336,Delhi,90,2021-05-07,Level 2
11337,Kota,43,2020-10-14,Level 2
11338,Kohima,300,2019-03-11,DC Fast
11339,Gandhinagar,120,2020-08-15,DC Fast
11340,Guntur,50,2021-03-07,Level 2
11341,Amritsar,22,2019-12-29,Level 1
11342,Solapur,100,2022-07-07,Level 2
11343,Kochi,100,2022-12-12,Level 2
11344,Nashik,7.2,2023-01-22,Level 1
11345,Muzaffarpur,7.2,2024-04-15,Level 1
11346,Naya Raipur,50,2021-06-30,Level 2
11347,Cuttack,250,2019-10-24,DC Fast
11348,Jamshedpur,3.3,2023-08-07,Level 1
11349,Rajkot,200,2024-06-02,DC Fast
11350,Naya Raipur,90,2020-07-26,Level 2
11351,Ajmer,50,2022-01-16,Level 2
11352,Shimla,150,2021-12-08,DC Fast
11353,Karimnagar,150,2020-10-03,DC Fast
11354,Nashik,250,2020-10-13,DC Fast
11355,Gangtok,11,2020-08-25,Level 1
11356,Berhampur,300,2024-09-16,DC Fast
11357,Navi Mumbai,150,2020-12-13,DC Fast
11358,Mangalore,180,2019-01-17,DC Fast
11359,Dehradun,120,2019-04-26,DC Fast
11360,Berhampur,11,2019-07-04,Level 1
11361,Panipat,43,2023-07-24,Level 2
11362,Shillong,100,2022-11-14,Level 2
11363,Hubli,90,2019-03-02,Level 2
11364,Jabalpur,7.2,2022-07-27,Level 1
11365,Nagpur,22,2020-12-21,Level 1
11366,Panaji,90,2019-03-24,Level 2
11367,Satna,43,2024-05-16,Level 2
11368,Hubli,200,2020-05-27,DC Fast
11369,Kurukshetra,200,2019-10-13,DC Fast
11370,Patna,3.3,2020-09-23,Level 1
11371,Vijayawada,200,2023-06-14,DC Fast
11372,Tuticorin,150,2022-04-10,DC Fast
11373,Shillong,11,2020-12-31,Level 1
11374,Jodhpur,250,2020-09-01,DC Fast
11375,Surat,200,2019-02-06,DC Fast
11376,Bhagalpur,300,2021-04-28,DC Fast
11377,Ludhiana,60,2023-11-04,Level 2
11378,Ajmer,250,2023-09-24,DC Fast
11379,Rajkot,120,2021-05-08,DC Fast
11380,Madurai,3.3,2019-01-02,Level 1
11381,Satna,90,2023-10-28,Level 2
11382,Vasai,3.3,2022-01-31,Level 1
11383,Jamshedpur,100,2021-02-10,Level 2
11384,Ambala,200,2023-03-15,DC Fast
11385,Guwahati,11,2021-01-08,Level 1
11386,Ludhiana,30,2021-05-15,Level 2
11387,Kollam,90,2022-04-08,Level 2
11388,Tiruchirappalli,75,2019-01-15,Level 2
11389,Belgaum,150,2021-08-29,DC Fast
11390,Kalyan,22,2023-06-13,Level 1
11391,Tuticorin,200,2020-12-31,DC Fast
11392,Varanasi,30,2020-10-30,Level 2
11393,Aligarh,250,2019-04-26,DC Fast
11394,Srinagar,75,2024-01-09,Level 2
11395,Bhopal,30,2022-12-13,Level 2
11396,Belgaum,50,2021-10-01,Level 2
11397,Raipur,300,2020-11-08,DC Fast
11398,Varanasi,22,2021-05-08,Level 1
11399,Hyderabad,180,2023-04-23,DC Fast
11400,Tuticorin,150,2019-02-24,DC Fast
11401,Ambala,3.3,2024-03-07,Level 1
11402,Bareilly,43,2023-05-24,Level 2
11403,Muzaffarpur,3.3,2020-03-15,Level 1
11404,Amaravati,200,2023-01-11,DC Fast
11405,Jaipur,60,2021-05-17,Level 2
11406,Belgaum,7.2,2023-01-10,Level 1
11407,Chandigarh,43,2023-06-30,Level 2
11408,Mysuru,300,2023-12-05,DC Fast
11409,Guntur,43,2024-03-31,Level 2
11410,Berhampur,250,2023-07-17,DC Fast
11411,Belgaum,50,2020-01-27,Level 2
11412,Hubli,200,2022-07-30,DC Fast
11413,Chandigarh,43,2021-03-26,Level 2
11414,Karnal,250,2022-04-14,DC Fast
11415,Amaravati,11,2023-07-25,Level 1
11416,Mysuru,7.2,2020-04-22,Level 1
11417,Bhopal,43,2019-07-29,Level 2
11418,Vasai,100,2021-06-04,Level 2
11419,Jaipur,120,2022-02-21,DC Fast
11420,Itanagar,22,2020-11-27,Level 1
11421,Howrah,100,2020-11-10,Level 2
11422,Kurukshetra,300,2019-06-11,DC Fast
11423,Patna,7.2,2019-06-13,Level 1
11424,Hisar,180,2021-02-03,DC Fast
11425,Thrissur,180,2022-11-28,DC Fast
11426,Meerut,11,2020-03-10,Level 1
11427,Rewa,30,2024-09-20,Level 2
11428,Solapur,120,2022-10-07,DC Fast
11429,Salem,250,2023-12-17,DC Fast
11430,Lucknow,43,2019-05-29,Level 2
11431,Solapur,22,2020-04-07,Level 1
11432,Pimpri-Chinchwad,150,2022-09-16,DC Fast
11433,Durgapur,60,2024-06-09,Level 2
11434,Vadodara,200,2024-02-18,DC Fast
11435,Nashik,150,2024-03-11,DC Fast
11436,Muzaffarpur,150,2023-03-21,DC Fast
11437,Balasore,150,2023-10-05,DC Fast
11438,Gwalior,50,2022-03-15,Level 2
11439,Cuttack,200,2024-08-25,DC Fast
11440,Bhagalpur,30,2023-01-04,Level 2
11441,Belgaum,30,2021-07-12,Level 2
11442,Ghaziabad,200,2023-04-14,DC Fast
11443,Kolkata,100,2021-02-12,Level 2
11444,Panipat,30,2020-02-16,Level 2
11445,Berhampur,22,2019-08-11,Level 1
11446,Ujjain,75,2021-06-08,Level 2
11447,Bokaro,7.2,2020-04-17,Level 1
11448,Solapur,60,2019-10-10,Level 2
11449,Satna,22,2020-09-21,Level 1
11450,Madurai,60,2021-04-28,Level 2
11451,Gaya,250,2019-06-23,DC Fast
11452,Jabalpur,120,2020-08-09,DC Fast
11453,Kolkata,50,2021-07-30,Level 2
11454,Ghaziabad,120,2022-12-17,DC Fast
11455,Gandhinagar,200,2023-11-09,DC Fast
11456,Solapur,30,2021-01-04,Level 2
11457,Gandhinagar,7.2,2024-02-18,Level 1
11458,Noida,120,2024-04-20,DC Fast
11459,Panipat,180,2021-11-26,DC Fast
11460,Nashik,50,2020-05-23,Level 2
11461,Howrah,22,2020-11-04,Level 1
11462,Dehradun,120,2023-05-02,DC Fast
11463,Gandhinagar,43,2021-07-23,Level 2
11464,Kakinada,11,2019-05-20,Level 1
11465,Durgapur,300,2024-07-14,DC Fast
11466,Imphal,30,2022-09-24,Level 2
11467,Ranchi,75,2023-06-24,Level 2
11468,Ahmedabad,22,2020-05-31,Level 1
11469,Mysuru,250,2023-07-05,DC Fast
11470,Imphal,180,2021-04-25,DC Fast
11471,Satna,3.3,2021-08-04,Level 1
11472,Tiruchirappalli,90,2023-05-03,Level 2
11473,Kolkata,3.3,2021-11-14,Level 1
11474,Varanasi,90,2021-12-11,Level 2
11475,Cuttack,100,2019-08-14,Level 2
11476,Dhanbad,30,2020-09-03,Level 2
11477,Varanasi,200,2020-04-25,DC Fast
11478,Vasai,300,2021-06-22,DC Fast
11479,Salem,30,2022-10-31,Level 2
11480,Mangalore,60,2021-11-09,Level 2
11481,Allahabad,50,2022-11-01,Level 2
11482,Chennai,75,2020-10-26,Level 2
11483,Jodhpur,90,2022-02-04,Level 2
11484,Itanagar,3.3,2019-05-28,Level 1
11485,Ranchi,75,2019-12-18,Level 2
11486,Thane,7.2,2021-05-02,Level 1
11487,Jaipur,250,2020-03-19,DC Fast
11488,Thane,150,2024-09-12,DC Fast
11489,Tirupati,100,2021-09-15,Level 2
11490,Cuttack,150,2021-03-30,DC Fast
11491,Pimpri-Chinchwad,30,2020-12-06,Level 2
11492,Ghaziabad,180,2022-11-05,DC Fast
11493,Ambala,30,2023-10-04,Level 2
11494,Gandhinagar,200,2024-07-27,DC Fast
11495,Vizhinjam,60,2021-05-25,Level 2
11496,Bokaro,200,2019-05-23,DC Fast
11497,Kollam,22,2024-03-07,Level 1
11498,Aizawl,43,2024-06-19,Level 2
11499,Kota,3.3,2024-08-07,Level 1
11500,Rajkot,200,2023-11-09,DC Fast
11501,Kochi,7.2,2020-06-07,Level 1
11502,Pimpri-Chinchwad,100,2024-09-23,Level 2
11503,Visakhapatnam,7.2,2019-11-22,Level 1
11504,Nanded,75,2023-08-05,Level 2
11505,Navi Mumbai,50,2020-10-19,Level 2
11506,Ahmedabad,150,2024-05-19,DC Fast
11507,Porbandar,300,2022-06-15,DC Fast
11508,Imphal,120,2019-04-21,DC Fast
11509,Surat,3.3,2019-04-29,Level 1
11510,Silchar,150,2022-04-05,DC Fast
11511,Nellore,11,2021-07-19,Level 1
11512,Allahabad,22,2024-05-19,Level 1
11513,Satna,250,2022-04-26,DC Fast
11514,Vadodara,60,2021-02-14,Level 2
11515,Karnal,22,2020-11-22,Level 1
11516,Kolkata,90,2021-09-18,Level 2
11517,Navi Mumbai,75,2019-03-08,Level 2
11518,Jhansi,150,2020-04-21,DC Fast
11519,Thrissur,250,2022-11-04,DC Fast
11520,Porbandar,60,2019-08-06,Level 2
11521,Karnal,22,2021-10-22,Level 1
11522,Ghaziabad,150,2024-03-04,DC Fast
11523,Imphal,43,2021-12-23,Level 2
11524,Aligarh,180,2019-04-06,DC Fast
11525,Surat,180,2022-11-26,DC Fast
11526,Mangalore,7.2,2024-03-18,Level 1
11527,Raipur,90,2024-09-19,Level 2
11528,Rewa,300,2024-08-23,DC Fast
11529,Karnal,250,2024-06-01,DC Fast
11530,Gaya,11,2023-11-03,Level 1
11531,Rewa,100,2020-06-13,Level 2
11532,Bengaluru,22,2019-03-21,Level 1
11533,Balasore,75,2023-04-03,Level 2
11534,Kurukshetra,3.3,2022-04-21,Level 1
11535,Gwalior,150,2022-05-12,DC Fast
11536,Hyderabad,100,2020-07-05,Level 2
11537,Gangtok,22,2019-02-27,Level 1
11538,Berhampur,75,2024-09-26,Level 2
11539,Paradip,75,2022-12-09,Level 2
11540,Rohtak,30,2023-08-02,Level 2
11541,Ahmedabad,75,2022-02-25,Level 2
11542,Nellore,100,2024-06-07,Level 2
11543,Shimla,250,2019-08-27,DC Fast
11544,Aurangabad,3.3,2022-01-29,Level 1
11545,Hisar,150,2019-06-20,DC Fast
11546,Hisar,250,2019-08-02,DC Fast
11547,Ludhiana,22,2020-11-20,Level 1
11548,Bathinda,150,2024-01-05,DC Fast
11549,Naya Raipur,100,2023-01-16,Level 2
11550,Chandigarh,22,2020-03-14,Level 1
11551,Allahabad,60,2020-12-15,Level 2
11552,Berhampur,120,2021-05-27,DC Fast
11553,Salem,90,2021-04-26,Level 2
11554,Ludhiana,7.2,2022-02-07,Level 1
11555,Panaji,250,2019-10-12,DC Fast
11556,Delhi,90,2019-09-05,Level 2
11557,Amritsar,300,2020-07-16,DC Fast
11558,Vasai,3.3,2024-06-23,Level 1
11559,Ahmedabad,300,2019-01-06,DC Fast
11560,Dhanbad,30,2020-07-29,Level 2
11561,Solapur,30,2021-10-08,Level 2
11562,Ambala,7.2,2022-02-01,Level 1
11563,Anantapur,7.2,2023-10-23,Level 1
11564,Silchar,43,2024-06-17,Level 2
11565,Belgaum,120,2019-01-31,DC Fast
11566,Gangtok,3.3,2022-08-10,Level 1
11567,Kollam,60,2020-05-03,Level 2
11568,Tiruchirappalli,120,2023-09-29,DC Fast
11569,Nashik,75,2022-06-01,Level 2
11570,Nellore,22,2022-12-26,Level 1
11571,Mysuru,250,2019-08-18,DC Fast
11572,Panaji,7.2,2024-01-01,Level 1
11573,Vijayawada,90,2023-11-27,Level 2
11574,Imphal,7.2,2020-12-14,Level 1
11575,Ambala,300,2021-07-27,DC Fast
11576,Rourkela,50,2022-06-29,Level 2
11577,Nanded,7.2,2024-01-31,Level 1
11578,Moradabad,22,2022-04-06,Level 1
11579,Thrissur,43,2020-02-13,Level 2
11580,Bengaluru,100,2020-11-15,Level 2
11581,Kota,100,2022-01-05,Level 2
11582,Siliguri,250,2019-10-24,DC Fast
11583,Vijayawada,30,2019-03-19,Level 2
11584,Asansol,11,2023-04-17,Level 1
11585,Kurukshetra,22,2024-03-17,Level 1
11586,Bhagalpur,75,2019-10-01,Level 2
11587,Amritsar,3.3,2021-12-08,Level 1
11588,Saharanpur,250,2020-06-26,DC Fast
11589,Bokaro,30,2023-09-20,Level 2
11590,Mysuru,50,2020-08-27,Level 2
11591,Ambala,60,2019-03-07,Level 2
11592,Paradip,22,2022-08-05,Level 1
11593,Satna,300,2022-06-24,DC Fast
11594,Bilaspur,30,2023-04-12,Level 2
11595,Jodhpur,90,2022-09-17,Level 2
11596,Kolkata,3.3,2019-03-30,Level 1
11597,Dehradun,3.3,2024-04-03,Level 1
11598,Porbandar,7.2,2020-04-01,Level 1
11599,Imphal,180,2019-07-10,DC Fast
11600,Bhagalpur,60,2021-12-09,Level 2
11601,Berhampur,200,2019-06-05,DC Fast
11602,Ajmer,120,2020-07-21,DC Fast
11603,Chandigarh,200,2020-07-06,DC Fast
11604,Gandhinagar,250,2021-06-18,DC Fast
11605,Durgapur,300,2022-10-22,DC Fast
11606,Panaji,100,2021-12-30,Level 2
11607,Guntur,30,2023-09-06,Level 2
11608,Noida,43,2022-07-21,Level 2
11609,Nashik,120,2023-11-26,DC Fast
11610,Silchar,180,2023-11-04,DC Fast
11611,Surat,75,2021-12-20,Level 2
11612,Itanagar,300,2023-06-03,DC Fast
11613,Chandigarh,120,2023-01-28,DC Fast
11614,Vadodara,250,2023-06-16,DC Fast
11615,Kakinada,11,2021-04-23,Level 1
11616,Siliguri,11,2021-07-26,Level 1
11617,Aizawl,120,2022-10-22,DC Fast
11618,Shillong,60,2019-05-19,Level 2
11619,Kurukshetra,30,2022-08-26,Level 2
11620,Rajkot,3.3,2020-01-23,Level 1
11621,Ghaziabad,43,2021-08-23,Level 2
11622,Ujjain,200,2021-04-23,DC Fast
11623,Bilaspur,30,2024-07-05,Level 2
11624,Hosur,90,2019-12-22,Level 2
11625,Dehradun,200,2020-07-05,DC Fast
11626,Asansol,75,2022-06-17,Level 2
11627,Hyderabad,300,2021-05-12,DC Fast
11628,Tirupati,3.3,2019-07-05,Level 1
11629,Muzaffarpur,22,2019-07-28,Level 1
11630,Dharwad,90,2022-07-13,Level 2
11631,Vizhinjam,43,2024-01-14,Level 2
11632,Panipat,7.2,2019-12-19,Level 1
11633,Amaravati,3.3,2023-09-11,Level 1
11634,Satna,120,2019-11-18,DC Fast
11635,Ujjain,100,2024-05-27,Level 2
11636,Bhagalpur,150,2022-02-15,DC Fast
11637,Durgapur,90,2022-08-08,Level 2
11638,Patna,300,2019-12-10,DC Fast
11639,Ahmedabad,7.2,2022-06-19,Level 1
11640,Noida,50,2024-05-07,Level 2
11641,Chennai,150,2020-06-21,DC Fast
11642,Jhansi,200,2024-07-04,DC Fast
11643,Kota,50,2019-12-11,Level 2
11644,Kurukshetra,22,2019-02-11,Level 1
11645,Satna,180,2021-06-18,DC Fast
11646,Karimnagar,100,2019-02-17,Level 2
11647,Siliguri,3.3,2021-11-05,Level 1
11648,Jamshedpur,150,2020-01-15,DC Fast
11649,Nanded,200,2019-11-20,DC Fast
11650,Faridabad,11,2023-10-28,Level 1
11651,Guntur,22,2021-08-02,Level 1
11652,Shillong,3.3,2021-06-04,Level 1
11653,Rourkela,60,2023-05-27,Level 2
11654,Porbandar,90,2020-11-12,Level 2
11655,Thrissur,3.3,2024-09-25,Level 1
11656,Jaipur,30,2022-12-06,Level 2
11657,Kalyan,250,2022-09-16,DC Fast
11658,Bokaro,30,2021-02-06,Level 2
11659,Bokaro,22,2019-07-10,Level 1
11660,Bhopal,250,2019-05-24,DC Fast
11661,Porbandar,22,2023-11-02,Level 1
11662,Gangtok,200,2020-04-01,DC Fast
11663,Solapur,22,2020-12-31,Level 1
11664,Shillong,7.2,2022-08-25,Level 1
11665,Satna,250,2021-09-19,DC Fast
11666,Rourkela,200,2022-10-12,DC Fast
11667,Kohima,300,2019-12-04,DC Fast
11668,Rewa,250,2021-12-31,DC Fast
11669,Dharwad,7.2,2020-06-21,Level 1
11670,Gangtok,3.3,2023-01-23,Level 1
11671,Tirupati,120,2019-07-14,DC Fast
11672,Gaya,30,2023-10-21,Level 2
11673,Nanded,3.3,2024-07-10,Level 1
11674,Muzaffarpur,100,2019-05-12,Level 2
11675,Delhi,30,2020-06-06,Level 2
11676,Durgapur,30,2021-04-09,Level 2
11677,Pune,75,2021-05-31,Level 2
11678,Bilaspur,22,2021-06-16,Level 1
11679,Hyderabad,43,2023-08-01,Level 2
11680,Ahmedabad,300,2022-08-14,DC Fast
11681,Patna,7.2,2020-08-07,Level 1
11682,Pune,22,2023-08-31,Level 1
11683,Tirupati,50,2023-02-06,Level 2
11684,Coimbatore,11,2022-02-20,Level 1
11685,Kalyan,200,2020-09-30,DC Fast
11686,Aizawl,11,2020-11-07,Level 1
11687,Patna,60,2019-07-03,Level 2
11688,Tirupati,50,2020-04-03,Level 2
11689,Hosur,75,2023-04-29,Level 2
11690,Kalyan,60,2020-07-03,Level 2
11691,Bhagalpur,200,2020-06-25,DC Fast
11692,Allahabad,30,2020-04-25,Level 2
11693,Tirunelveli,250,2022-09-07,DC Fast
11694,Bhagalpur,7.2,2020-09-25,Level 1
11695,Vijayawada,200,2020-06-29,DC Fast
11696,Lucknow,30,2021-12-12,Level 2
11697,Chandigarh,43,2019-02-05,Level 2
11698,Bhagalpur,150,2021-11-04,DC Fast
11699,Vijayawada,75,2024-10-01,Level 2
11700,Nagpur,7.2,2024-03-25,Level 1
11701,Salem,60,2021-07-19,Level 2
11702,Chennai,250,2021-10-29,DC Fast
11703,Kalyan,11,2020-01-11,Level 1
11704,Bengaluru,3.3,2019-11-29,Level 1
11705,Mumbai,200,2023-02-14,DC Fast
11706,Ujjain,60,2020-10-19,Level 2
11707,Jodhpur,50,2019-10-19,Level 2
11708,Balasore,60,2021-09-23,Level 2
11709,Solapur,90,2022-06-05,Level 2
11710,Madurai,50,2022-02-12,Level 2
11711,Kochi,120,2021-07-27,DC Fast
11712,Durgapur,3.3,2019-06-08,Level 1
11713,Kollam,180,2022-02-11,DC Fast
11714,Salem,22,2021-05-28,Level 1
11715,Pimpri-Chinchwad,300,2023-02-04,DC Fast
11716,Hisar,250,2024-05-29,DC Fast
11717,Nashik,300,2022-02-17,DC Fast
11718,Durgapur,200,2022-10-23,DC Fast
11719,Itanagar,90,2019-05-12,Level 2
11720,Noida,50,2024-07-02,Level 2
11721,Muzaffarpur,180,2019-10-17,DC Fast
11722,Satna,180,2024-07-15,DC Fast
11723,Navi Mumbai,7.2,2019-07-28,Level 1
11724,Vadodara,22,2021-08-06,Level 1
11725,Satna,250,2020-05-25,DC Fast
11726,Thrissur,120,2020-07-08,DC Fast
11727,Hyderabad,3.3,2021-06-02,Level 1
11728,Vadodara,50,2021-02-13,Level 2
11729,Naya Raipur,7.2,2019-06-01,Level 1
11730,Kohima,150,2022-12-08,DC Fast
11731,Noida,3.3,2023-08-03,Level 1
11732,Jaipur,3.3,2021-09-23,Level 1
11733,Solapur,60,2021-12-22,Level 2
11734,Howrah,200,2024-09-09,DC Fast
11735,Satna,7.2,2020-11-23,Level 1
11736,Kohima,7.2,2021-09-07,Level 1
11737,Mangalore,100,2022-01-22,Level 2
11738,Bhopal,250,2024-07-26,DC Fast
11739,Durgapur,150,2024-08-18,DC Fast
11740,Jabalpur,22,2023-05-31,Level 1
11741,Ambala,11,2021-08-13,Level 1
11742,Ambala,43,2021-04-23,Level 2
11743,Vizhinjam,60,2020-03-22,Level 2
11744,Rewa,120,2020-06-20,DC Fast
11745,Rajkot,75,2023-05-02,Level 2
11746,Imphal,22,2019-04-09,Level 1
11747,Bengaluru,180,2024-09-27,DC Fast
11748,Coimbatore,11,2019-08-20,Level 1
11749,Jhansi,3.3,2022-09-27,Level 1
11750,Jaipur,11,2020-10-11,Level 1
11751,Belgaum,180,2019-05-16,DC Fast
11752,Satna,180,2020-02-03,DC Fast
11753,Mangalore,50,2021-02-14,Level 2
11754,Kochi,43,2020-07-06,Level 2
11755,Jabalpur,200,2020-06-26,DC Fast
11756,Chandigarh,30,2024-01-10,Level 2
11757,Darbhanga,150,2023-05-05,DC Fast
11758,Lucknow,150,2022-06-07,DC Fast
11759,Mumbai,60,2024-04-08,Level 2
11760,Muzaffarpur,7.2,2021-11-12,Level 1
11761,Lucknow,7.2,2019-03-23,Level 1
11762,Itanagar,22,2022-01-16,Level 1
11763,Bhagalpur,50,2022-03-16,Level 2
11764,Gandhinagar,43,2023-01-12,Level 2
11765,Bhopal,150,2019-03-23,DC Fast
11766,Dhanbad,43,2021-08-10,Level 2
11767,Kota,200,2023-12-24,DC Fast
11768,Bhagalpur,180,2023-04-04,DC Fast
11769,Allahabad,30,2024-03-30,Level 2
11770,Shimla,75,2024-04-07,Level 2
11771,Amritsar,150,2021-02-07,DC Fast
11772,Mysuru,250,2024-07-16,DC Fast
11773,Salem,100,2020-10-24,Level 2
11774,Tirupati,100,2019-07-02,Level 2
11775,Gangtok,100,2021-07-26,Level 2
11776,Mangalore,150,2021-09-30,DC Fast
11777,Panaji,50,2020-06-21,Level 2
11778,Kurukshetra,90,2023-01-11,Level 2
11779,Amaravati,22,2024-02-10,Level 1
11780,Moradabad,100,2021-01-30,Level 2
11781,Chennai,250,2024-02-06,DC Fast
11782,Bilaspur,120,2020-05-23,DC Fast
11783,Gaya,90,2024-05-15,Level 2
11784,Shimla,120,2022-03-09,DC Fast
11785,Nanded,7.2,2020-03-24,Level 1
11786,Kollam,75,2020-10-18,Level 2
11787,Siliguri,150,2023-12-21,DC Fast
11788,Darbhanga,11,2020-10-16,Level 1
11789,Visakhapatnam,43,2019-10-01,Level 2
11790,Shillong,75,2019-03-15,Level 2
11791,Kalyan,22,2019-04-08,Level 1
11792,Bilaspur,7.2,2020-11-18,Level 1
11793,Jaipur,30,2023-11-25,Level 2
11794,Solapur,250,2022-02-16,DC Fast
11795,Durgapur,250,2019-08-25,DC Fast
11796,Amritsar,43,2021-05-07,Level 2
11797,Aurangabad,50,2024-06-26,Level 2
11798,Pune,60,2019-02-06,Level 2
11799,Amaravati,180,2020-02-24,DC Fast
11800,Thrissur,120,2022-04-25,DC Fast
11801,Howrah,60,2024-08-11,Level 2
11802,Durgapur,22,2020-12-27,Level 1
11803,Paradip,180,2023-11-20,DC Fast
11804,Navi Mumbai,200,2021-09-22,DC Fast
11805,Meerut,22,2022-06-17,Level 1
11806,Raipur,300,2019-02-27,DC Fast
11807,Aizawl,180,2020-12-10,DC Fast
11808,Mangalore,300,2019-07-26,DC Fast
11809,Ludhiana,120,2021-11-04,DC Fast
11810,Bengaluru,200,2022-10-16,DC Fast
11811,Salem,50,2023-07-18,Level 2
11812,Moradabad,60,2021-07-26,Level 2
11813,Raipur,100,2019-06-02,Level 2
11814,Chennai,7.2,2022-08-20,Level 1
11815,Thane,90,2022-07-01,Level 2
11816,Karnal,3.3,2022-06-02,Level 1
11817,Dehradun,120,2022-01-30,DC Fast
11818,Chandigarh,150,2019-09-30,DC Fast
11819,Cuttack,120,2022-02-28,DC Fast
11820,Thrissur,300,2020-09-03,DC Fast
11821,Darbhanga,50,2024-09-17,Level 2
11822,Thane,200,2021-08-18,DC Fast
11823,Amaravati,30,2021-08-05,Level 2
11824,Navi Mumbai,75,2023-05-26,Level 2
11825,Aligarh,11,2020-08-02,Level 1
11826,Kochi,75,2022-11-23,Level 2
11827,Kalyan,250,2023-02-28,DC Fast
11828,Srinagar,50,2022-09-01,Level 2
11829,Silchar,7.2,2023-11-28,Level 1
11830,Hubli,180,2022-11-15,DC Fast
